t,x(t),dx/dt,dx/dt,integral(x),integral(x)
[0.984532, 3.14832, -14.4224, -12.9696, 5.70234, 5.69776]
[0.994721, 2.99418, -15.8221, -14.4255, 5.73365, 5.72981]
[1.00472, 2.8294, -17.1197, -15.7974, 5.76277, 5.75973]
[1.01803, 2.59073, -18.7188, -17.3087, 5.79887, 5.79722]
[1.02824, 2.39377, -19.8387, -18.5209, 5.82433, 5.82375]
[1.03824, 2.1903, -20.8394, -19.8114, 5.84726, 5.84768]
[1.04941, 1.95193, -21.8382, -20.8749, 5.87039, 5.87207]
[1.05941, 1.72954, -22.622, -21.7697, 5.88881, 5.89161]
[1.06941, 1.49979, -23.2972, -22.6017, 5.90496, 5.90891]
[1.0796, 1.25937, -23.8699, -23.2828, 5.91903, 5.92417]
[1.0896, 1.0183, -24.316, -23.8468, 5.93042, 5.93676]
[1.0996, 0.773393, -24.6451, -24.2953, 5.93938, 5.94694]
[1.1096, 0.52574, -24.8556, -24.6254, 5.94588, 5.95467]
[1.11961, 0.276605, -24.9465, -24.8369, 5.94989, 5.95993]
[1.12961, 0.02716, -24.9174, -24.9265, 5.95141, 5.96269]
[1.13961, -0.221368, -24.7683, -24.8961, 5.95044, 5.96297]
[1.14961, -0.467834, -24.5001, -24.7472, 5.94699, 5.96076]
[1.15961, -0.711003, -24.1141, -24.4817, 5.94109, 5.95608]
[1.16961, -0.949754, -23.6122, -24.096, 5.93279, 5.94898]
[1.17961, -1.18289, -22.9968, -23.5933, 5.92212, 5.93949]
[1.18961, -1.40937, -22.2709, -22.9783, 5.90915, 5.92767]
[1.19961, -1.628, -21.4382, -22.252, 5.89395, 5.91359]
[1.20961, -1.83783, -20.5026, -21.4199, 5.87661, 5.89732]
[1.21961, -2.03775, -19.469, -20.4863, 5.85723, 5.87896]
[1.22961, -2.22691, -18.3421, -19.4534, 5.83589, 5.8586]
[1.23961, -2.40432, -17.1279, -18.3286, 5.81273, 5.83635]
[1.24961, -2.56921, -15.8317, -17.1149, 5.78784, 5.81233]
[1.26025, -2.72989, -14.371, -15.7761, 5.75965, 5.78501]
[1.27339, -2.90633, -12.4603, -14.1777, 5.72259, 5.7491]
[1.28339, -3.02338, -10.9376, -12.681, 5.69292, 5.72013]
[1.2934, -3.12493, -9.3636, -10.9285, 5.66217, 5.68991]
[1.3034, -3.21053, -7.74585, -9.35579, 5.63047, 5.65869]
[1.3134, -3.27976, -6.09264, -7.74038, 5.598, 5.62661]
[1.3234, -3.3323, -4.41206, -6.08813, 5.56493, 5.59383]
[1.33679, -3.37614, -2.13322, -4.12108, 5.51998, 5.54924]
[1.34679, -3.38892, -0.420768, -2.42076, 5.48615, 5.51553]
[1.35733, -3.38383, 1.3849, -0.373983, 5.45042, 5.47982]
[1.37195, -3.34538, 3.86922, 1.73001, 5.40118, 5.43044]
[1.38195, -3.29828, 5.54417, 3.47433, 5.36794, 5.39699]
[1.39361, -3.22244, 7.45861, 5.67572, 5.32991, 5.35859]
[1.40364, -3.13957, 9.06356, 7.31885, 5.298, 5.32629]
[1.41364, -3.04112, 10.6172, 9.05308, 5.26708, 5.29492]
[1.42364, -2.92738, 12.1168, 10.6083, 5.23722, 5.26453]
[1.43364, -2.79896, 13.5545, 12.107, 5.20857, 5.23528]
[1.44364, -2.65649, 14.9234, 13.5423, 5.18128, 5.20731]
[1.45433, -2.4896, 16.3022, 14.9553, 5.15378, 5.17897]
[1.46433, -2.32048, 17.5079, 16.2456, 5.12972, 5.15408]
[1.47728, -2.08435, 18.9373, 17.6588, 5.10118, 5.12417]
[1.48728, -1.8899, 19.9327, 18.7617, 5.0813, 5.10326]
[1.49728, -1.68593, 20.8283, 19.9162, 5.0634, 5.08437]
[1.50728, -1.47358, 21.6193, 20.8098, 5.0476, 5.06752]
[1.51728, -1.25384, 22.3019, 21.6012, 5.03395, 5.0528]
[1.52729, -1.02785, 22.8729, 22.2833, 5.02254, 5.04026]
[1.53943, -0.746752, 23.4119, 22.9037, 5.01176, 5.0279]
[1.54943, -0.510938, 23.7265, 23.3485, 5.00547, 5.02036]
[1.56157, -0.221323, 23.9489, 23.7289, 5.00102, 5.01426]
[1.57157, 0.0185441, 23.9996, 23.9109, 5.00001, 5.01196]
[1.58157, 0.258342, 23.9304, 23.9796, 5.00139, 5.01215]
[1.59157, 0.496801, 23.7415, 23.9104, 5.00517, 5.01473]
[1.60157, 0.732823, 23.4339, 23.7217, 5.01132, 5.0197]
[1.61187, 0.971921, 22.9948, 23.4095, 5.0201, 5.02725]
[1.62187, 1.19927, 22.4516, 22.9811, 5.03096, 5.03695]
[1.63187, 1.42062, 21.7959, 22.4317, 5.04407, 5.04893]
[1.64187, 1.63489, 21.031, 21.7766, 5.05936, 5.06313]
[1.65187, 1.84093, 20.1608, 21.0135, 5.07674, 5.07946]
[1.66187, 2.03781, 19.1893, 20.1459, 5.09615, 5.09786]
[1.67209, 2.22839, 18.0973, 19.1619, 5.11795, 5.11867]
[1.68209, 2.40363, 16.9365, 18.093, 5.14112, 5.14093]
[1.69209, 2.56685, 15.6902, 16.9231, 5.16599, 5.16495]
[1.70269, 2.7258, 14.2828, 15.6384, 5.19405, 5.19215]
[1.71292, 2.86458, 12.8481, 14.2954, 5.22265, 5.21999]
[1.72423, 3.00051, 11.1825, 12.7578, 5.25583, 5.25237]
[1.73453, 3.1076, 9.60128, 11.2466, 5.2873, 5.28324]
[1.74453, 3.19574, 8.01569, 9.61565, 5.31884, 5.31429]
[1.75453, 3.26779, 6.38896, 8.009, 5.35117, 5.34621]
[1.76774, 3.33773, 4.18923, 6.11725, 5.39483, 5.38938]
[1.77774, 3.37117, 2.49655, 4.45381, 5.4284, 5.4227]
[1.79107, 3.38929, 0.219387, 2.2102, 5.47348, 5.4676]
[1.80107, 3.38292, -1.49446, 0.503231, 5.50737, 5.50146]
[1.81107, 3.35942, -3.20297, -1.49345, 5.54109, 5.53526]
[1.82107, 3.31889, -4.89847, -3.20092, 5.5745, 5.56883]
[1.8343, 3.2395, -7.10485, -5.16447, 5.61789, 5.61262]
[1.8443, 3.16025, -8.73729, -6.83159, 5.6499, 5.64502]
[1.8543, 3.06486, -10.3294, -8.73062, 5.68105, 5.6766]
[1.8643, 2.9538, -11.8729, -10.3212, 5.71115, 5.70723]
[1.8743, 2.82757, -13.3606, -11.863, 5.74008, 5.73674]
[1.8857, 2.66588, -14.9798, -13.4506, 5.77142, 5.76893]
[1.90521, 2.34836, -17.5292, -15.5042, 5.8204, 5.82041]
[1.91581, 2.15573, -18.7848, -16.9439, 5.84429, 5.84554]
[1.93113, 1.85527, -20.4182, -19.0247, 5.87504, 5.87827]
[1.94424, 1.57934, -21.6355, -20.2748, 5.89758, 5.90266]
[1.95424, 1.35883, -22.4444, -21.4762, 5.91228, 5.91855]
[1.96425, 1.1307, -23.1458, -22.4277, 5.92473, 5.93213]
[1.97425, 0.896194, -23.7357, -23.1283, 5.93487, 5.94342]
[1.98425, 0.656313, -24.2117, -23.7168, 5.94264, 5.95238]
[1.99425, 0.412251, -24.5713, -24.1899, 5.94799, 5.95894]
[2.00444, 0.160543, -24.816, -24.5516, 5.95091, 5.96313]
[2.01444, -0.0883148, -24.9356, -24.7952, 5.95127, 5.96474]
[2.02444, -0.33777, -24.9353, -24.9181, 5.94914, 5.96385]
[2.03444, -0.586622, -24.8151, -24.9178, 5.94452, 5.96047]
[2.04444, -0.833698, -24.5754, -24.7952, 5.93741, 5.95461]
[2.05444, -1.07776, -24.2175, -24.5557, 5.92785, 5.94628]
[2.06444, -1.31766, -23.7431, -24.1993, 5.91587, 5.93551]
[2.07444, -1.55224, -23.1545, -23.724, 5.90152, 5.92234]
[2.08444, -1.78038, -22.4546, -23.1359, 5.88485, 5.90683]
[2.09444, -2.00097, -21.6468, -22.4366, 5.86594, 5.88904]
[2.10444, -2.21297, -20.735, -21.6305, 5.84486, 5.86905]
[2.11444, -2.41534, -19.7238, -20.7184, 5.82171, 5.84693]
[2.12444, -2.60713, -18.618, -19.708, 5.79659, 5.82279]
[2.13444, -2.7874, -17.4231, -18.6041, 5.7696, 5.79674]
[2.14444, -2.95531, -16.1448, -17.4083, 5.74088, 5.76889]
[2.161, -3.20405, -13.8616, -15.6858, 5.68983, 5.71972]
[2.17183, -3.34556, -12.2694, -14.25, 5.65436, 5.68523]
[2.18183, -3.46063, -10.7381, -12.321, 5.62032, 5.65182]
[2.19731, -3.60794, -8.26956, -10.2953, 5.56554, 5.59815]
[2.20866, -3.69122, -6.39999, -8.59316, 5.5241, 5.55732]
[2.21866, -3.74684, -4.72103, -6.50668, 5.4869, 5.52046]
[2.23077, -3.79157, -2.65913, -4.53785, 5.44121, 5.47509]
[2.24086, -3.80968, -0.929114, -2.82999, 5.40285, 5.43689]
[2.25445, -3.80645, 1.40367, -0.628264, 5.35108, 5.38516]
[2.26445, -3.78386, 3.11147, 1.09444, 5.31311, 5.34713]
[2.27477, -3.74271, 4.85642, 3.13597, 5.27425, 5.3081]
[2.28477, -3.6858, 6.52084, 4.82492, 5.23709, 5.2707]
[2.29551, -3.60634, 8.27045, 6.57532, 5.19792, 5.23116]
[2.30932, -3.47702, 10.4469, 8.50569, 5.14899, 5.18148]
[2.32422, -3.30453, 12.6821, 10.5129, 5.09841, 5.12977]
[2.34262, -3.04726, 15.2438, 12.9058, 5.03991, 5.06923]
[2.35644, -2.82417, 17.001, 14.9068, 4.99929, 5.02702]
[2.3743, -2.50208, 19.0279, 17.2079, 4.95169, 4.97689]
[2.38437, -2.30525, 20.0398, 18.5807, 4.92747, 4.95148]
[2.39944, -1.99298, 21.3633, 20.248, 4.89505, 4.91703]
[2.4097, -1.76978, 22.1271, 21.1389, 4.87575, 4.89643]
