t,x(t),dx/dt,dx/dt,integral(x),integral(x)
[4.16663, -2.4569, 19.4972, 18.3572, 4.18345, 4.20174]
[4.17663, -2.25667, 20.529, 19.4816, 4.15988, 4.17719]
[4.18663, -2.04659, 21.4623, 20.5126, 4.13835, 4.15464]
[4.19663, -1.8277, 22.2926, 21.4462, 4.11897, 4.13418]
[4.20663, -1.60107, 23.0156, 22.2747, 4.10182, 4.11592]
[4.21663, -1.36771, 23.6281, 22.9972, 4.08697, 4.09992]
[4.22663, -1.12887, 24.1268, 23.6091, 4.07448, 4.08625]
[4.23663, -0.88554, 24.5096, 24.1051, 4.0644, 4.07496]
[4.24663, -0.639022, 24.7743, 24.4899, 4.05678, 4.06611]
[4.25663, -0.390426, 24.9199, 24.7557, 4.05163, 4.05973]
[4.26664, -0.140948, 24.9456, 24.9012, 4.04897, 4.05582]
[4.27664, 0.10816, 24.8512, 24.9268, 4.04881, 4.05441]
[4.28664, 0.355702, 24.6372, 24.83, 4.05113, 4.05549]
[4.29664, 0.600534, 24.3048, 24.6162, 4.05591, 4.05905]
[4.30664, 0.841456, 23.8554, 24.2865, 4.06313, 4.06505]
[4.32247, 1.21191, 22.9111, 23.6712, 4.0794, 4.07871]
[4.33425, 1.47695, 22.0279, 23.0111, 4.09526, 4.09279]
[4.34426, 1.69302, 21.1634, 22.0802, 4.11111, 4.10747]
[4.35722, 1.95938, 19.892, 21.0052, 4.13481, 4.12954]
[4.37151, 2.2324, 18.307, 19.7938, 4.16478, 4.15754]
[4.38193, 2.41666, 17.0369, 18.5087, 4.18901, 4.18065]
[4.39372, 2.60853, 15.4943, 16.9338, 4.21865, 4.20916]
[4.40372, 2.7566, 14.105, 15.6011, 4.24549, 4.23517]
[4.41372, 2.89043, 12.6492, 14.0933, 4.27374, 4.26272]
[4.42436, 3.01644, 11.0354, 12.5907, 4.30517, 4.29345]
[4.43436, 3.11899, 9.46438, 11.0758, 4.33586, 4.32357]
[4.44436, 3.2056, 7.84932, 9.45751, 4.3675, 4.35474]
[4.45436, 3.27587, 6.19795, 7.84321, 4.39993, 4.38677]
[4.46606, 3.3369, 4.23174, 6.05126, 4.43863, 4.42507]
[4.4828, 3.3839, 1.37668, 3.7983, 4.49496, 4.48091]
[4.49418, 3.38847, -0.573365, 1.83357, 4.53352, 4.51934]
[4.50418, 3.37419, -2.28204, -0.454398, 4.56735, 4.5532]
[4.51419, 3.34287, -3.97718, -2.27978, 4.60096, 4.58692]
[4.52419, 3.2947, -5.65032, -3.97346, 4.63417, 4.62032]
[4.53956, 3.18841, -8.16126, -6.08626, 4.68406, 4.67083]
[4.55419, 3.05214, -10.4572, -8.08525, 4.72973, 4.71739]
[4.5673, 2.90204, -12.419, -10.3241, 4.7688, 4.75738]
[4.57737, 2.76973, -13.8523, -12.1831, 4.79736, 4.78663]
[4.58738, 2.62414, -15.2077, -13.8369, 4.82439, 4.81435]
[4.59739, 2.4656, -16.484, -15.1931, 4.84985, 4.84057]
[4.60982, 2.25136, -17.9543, -16.6162, 4.87919, 4.87112]
[4.61982, 2.06629, -19.0362, -17.7985, 4.90079, 4.89368]
[4.62982, 1.8709, -20.0223, -19.0202, 4.92049, 4.91433]
[4.64347, 1.58936, -21.2049, -20.1669, 4.94412, 4.93967]
[4.65419, 1.35772, -21.9956, -21.0612, 4.95992, 4.95679]
[4.66419, 1.13453, -22.6192, -21.9514, 4.97239, 4.97038]
[4.67419, 0.905668, -23.1297, -22.6004, 4.9826, 4.98172]
[4.68419, 0.672276, -23.5245, -23.1104, 4.99049, 4.99077]
[4.69419, 0.4355, -23.8016, -23.5049, 4.99603, 4.99749]
[4.70419, 0.196617, -23.9597, -23.7817, 4.99919, 5.00184]
[4.71419, -0.0433193, -23.998, -23.9386, 4.99996, 5.00381]
[4.72419, -0.283015, -23.9164, -23.9768, 4.99833, 5.00337]
[4.73419, -0.521273, -23.7153, -23.8977, 4.99431, 5.00055]
[4.74459, -0.76621, -23.3804, -23.6918, 4.98761, 4.99511]
[4.75459, -0.997904, -22.9391, -23.3677, 4.97879, 4.98747]
[4.76459, -1.22463, -22.383, -22.9188, 4.96767, 4.9775]
[4.77459, -1.44523, -21.7148, -22.3643, 4.95431, 4.96527]
[4.7846, -1.65861, -20.9378, -21.6967, 4.93878, 4.95082]
[4.79464, -1.86453, -20.052, -20.9175, 4.92108, 4.93418]
[4.80464, -2.06021, -19.0691, -20.0372, 4.90145, 4.91555]
[4.81464, -2.24561, -17.9903, -19.0541, 4.87991, 4.89496]
[4.82489, -2.42404, -16.7901, -17.9605, 4.85596, 4.87195]
[4.83465, -2.58184, -15.5664, -16.8067, 4.83154, 4.84834]
[4.84465, -2.73092, -14.2337, -15.5374, 4.80496, 4.82254]
[4.85465, -2.86629, -12.8289, -14.2217, 4.77697, 4.79525]
[4.86465, -2.9873, -11.3587, -12.8186, 4.74768, 4.76661]
[4.87465, -3.0933, -9.83075, -11.3498, 4.71727, 4.73676]
[4.8865, -3.19874, -7.95533, -9.67683, 4.67996, 4.70011]
[4.8965, -3.27019, -6.32686, -8.09553, 4.6476, 4.66817]
[4.9065, -3.32518, -4.6652, -6.32138, 4.61461, 4.6355]
[4.9165, -3.36341, -2.97816, -4.66068, 4.58115, 4.60227]
[4.9265, -3.38469, -1.27436, -2.97528, 4.5474, 4.56866]
[4.9365, -3.38887, 0.438197, -1.27285, 4.51351, 4.53484]
[4.9465, -3.37592, 2.15095, 0.438229, 4.47967, 4.50098]
[4.9565, -3.34587, 3.85567, 2.14978, 4.44604, 4.46724]
[4.96675, -3.29748, 5.58506, 3.87389, 4.41198, 4.43299]
[4.97675, -3.23329, 7.2475, 5.5601, 4.37931, 4.40004]
[4.98675, -3.15263, 8.87658, 7.24188, 4.34737, 4.36773]
[4.99675, -3.05588, 10.4647, 8.86271, 4.31631, 4.33618]
